X-axis,Y-axis
761.0,190.0
765.0,194.0
769.0,198.0
773.0,202.0
774.0,206.0
774.0,210.0
774.0,214.0
774.0,218.0
774.0,222.0
774.0,226.0
774.0,230.0
774.0,234.0
774.0,238.0
774.0,242.0
774.0,246.0
774.0,250.0
774.0,254.0
774.0,258.0
774.0,262.0
774.0,266.0
774.0,270.0
774.0,274.0
774.0,278.0
774.0,282.0
774.0,286.0
774.0,290.0
774.0,294.0
774.0,298.0
774.0,302.0
774.0,306.0
774.0,310.0
774.0,314.0
774.0,318.0
774.0,322.0
774.0,326.0
774.0,330.0
774.0,334.0
774.0,338.0
774.0,342.0
774.0,346.0
774.0,350.0
774.0,354.0
774.0,358.0
774.0,362.0
774.0,366.0
774.0,370.0
774.0,374.0
774.0,378.0
